id,original_title,original_language,genres,budget,revenue,runtime,release_date,production_companies_list,production_countries_list,vote_average,keywords,made_profit
122917,The Hobbit: The Battle of the Five Armies,en,Action,250000000,956019788,144.0,2014,WingNut Films,New Zealand,7.1,"corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword and sorcery",1
1930,The Amazing Spider-Man,en,Action,215000000,752215857,136.0,2012,Columbia Pictures,United States of America,6.5,"loss of father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering, social outcast, duringcreditsstinger",1
20662,Robin Hood,en,Action,200000000,310669540,140.0,2010,Imagine Entertainment,United Kingdom,6.2,"robin hood, archer, knight, sherwood forest, bow and arrow, middle ages, medieval, king of england",1
57158,The Hobbit: The Desolation of Smaug,en,Adventure,250000000,958400000,161.0,2013,WingNut Films,New Zealand,7.6,"elves, dwarves, orcs, hobbit, dragon, wizard, sword and sorcery",1
2268,The Golden Compass,en,Adventure,180000000,372234864,113.0,2007,New Line Cinema,United Kingdom,5.8,"england, compass, experiment, lordship, uncle, polar bear, orphan, animal, based on young adult novel",1
254,King Kong,en,Adventure,207000000,550000000,187.0,2005,WingNut Films,New Zealand,6.6,"film business, screenplay, show business, film making, film producer, exotic island, monster, indigenous, ship, dinosaur",1
597,Titanic,en,Drama,200000000,1845034188,194.0,1997,Paramount Pictures,United States of America,7.5,"shipwreck, iceberg, ship, panic, titanic, ocean liner, epic, rich woman - poor man, love, disaster, tragic love, class differences, imax, star crossed lovers, steerage, salvage, rich snob, 3d, 1910s",1
271110,Captain America: Civil War,en,Adventure,250000000,1153304495,147.0,2016,Studio Babelsberg,United States of America,7.1,"civil war, war, marvel comic, sequel, superhero, based on comic book, imax, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d",1
44833,Battleship,en,Thriller,209000000,303025485,131.0,2012,Universal Pictures,United States of America,5.5,"fight, u.s. navy, mind reading, hong kong, soccer, scientist, fictional war, naval, armada, battleship, naval combat, jds myoko, lost communication, taser, buoy, communications expert, joint chiefs of staff, crash landing, jet fighter pilot, navy lieutenant, permission to marry, uss john paul jones, based on board game, aftercreditsstinger, mighty mo, uss missouri",1
135397,Jurassic World,en,Action,150000000,1513528810,124.0,2015,Universal Studios,United States of America,6.5,"monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d, animal horror",1
37724,Skyfall,en,Action,200000000,1108561013,143.0,2012,Columbia Pictures,United Kingdom,6.9,"spy, secret agent, sociopath, killer, art gallery, british secret service, istanbul turkey, imax, uzi, booby trap, impersonating a police officer, macao",1
558,Spider-Man 2,en,Action,200000000,783766341,127.0,2004,Columbia Pictures,United States of America,6.7,"dual identity, love of one's life, pizza boy, marvel comic, sequel, superhero, doctor, scientist, tentacle, death, super villain",1
68721,Iron Man 3,en,Action,200000000,1215439994,130.0,2013,Marvel Studios,China,6.8,"terrorist, war on terror, tennessee, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, mandarin, 3d, war machine, iron patriot, extremis",1
12155,Alice in Wonderland,en,Family,200000000,1025491110,108.0,2010,Walt Disney Pictures,United States of America,6.4,"based on novel, fictional place, queen, fantasy, alice in wonderland, fantasy world, 3d",1
36668,X-Men: The Last Stand,en,Adventure,210000000,459359555,104.0,2006,Ingenious Film Partners,Canada,6.3,"mutant, marvel comic, based on comic book, superhuman, beast, cyclops, aftercreditsstinger",1
62211,Monsters University,en,Animation,200000000,743559607,104.0,2013,Walt Disney Pictures,United States of America,7.0,"monster, dormitory, games, animation, best friend, university, scary, aftercreditsstinger",1
8373,Transformers: Revenge of the Fallen,en,Science Fiction,150000000,836297228,150.0,2009,Paramount Pictures,United States of America,6.0,"egypt, sun, chaos, symbol, artifact, transformers, tank, robot, imax, duringcreditsstinger",1
91314,Transformers: Age of Extinction,en,Science Fiction,210000000,1091405097,165.0,2014,Paramount Pictures,United States of America,5.8,"sequel, alien, transformers, giant robot, robot, imax, transforming robot",1
68728,Oz: The Great and Powerful,en,Fantasy,200000000,491868548,130.0,2013,Walt Disney Pictures,United States of America,5.7,"circus, witch, magic, hope, illusion, lost, magic trick, wizard, 3d",1
102382,The Amazing Spider-Man 2,en,Action,200000000,705717432,142.0,2014,Columbia Pictures,United States of America,6.5,"obsession, marvel comic, sequel, based on comic book, electrocution, medical experiment, electricity, super powers",1
20526,TRON: Legacy,en,Adventure,170000000,400062763,125.0,2010,Walt Disney Pictures,United States of America,6.3,"artificial intelligence, secret identity, computer program, dystopia, computer, deception, duel, motorcycle, neon light, autocracy",1
8452,The 6th Day,en,Science Fiction,82000000,96085477,123.0,2000,Phoenix Pictures,United States of America,5.7,"clone, future, murder, cloning, laser gun, dystopic future, implanted memory, sci-fi thriller",1
49013,Cars 2,en,Animation,200000000,559852396,106.0,2011,Walt Disney Pictures,United States of America,5.8,"car race, sequel, comedy, anthropomorphism, best friend, duringcreditsstinger",1
44912,Green Lantern,en,Adventure,200000000,219851172,114.0,2011,De Line Pictures,United States of America,5.1,"dc comics, transformation, superhero, alien, alien infection, magical object, protector, super powers, origin, 3d",1
10193,Toy Story 3,en,Animation,200000000,1066969703,103.0,2010,Walt Disney Pictures,United States of America,7.6,"hostage, college, toy, barbie, animation, escape, day care, teddy bear, duringcreditsstinger, toy comes to life, personification, inanimate objects coming to life, toy story",1
534,Terminator Salvation,en,Action,200000000,371353001,115.0,2009,Columbia Pictures,Germany,5.9,"saving the world, artificial intelligence, prophecy, san francisco, cyborg, killer robot, gas station, post-apocalyptic, dystopia, army, firearm, wartime, los angeles",1
168259,Furious 7,en,Action,190000000,1506249360,137.0,2015,Universal Pictures,Japan,7.3,"car race, speed, revenge, suspense, car, race, muscle car",1
72190,World War Z,en,Action,200000000,531865000,116.0,2013,Paramount Pictures,United States of America,6.7,"dystopia, apocalypse, zombie, nuclear weapons, multiple perspectives, zombie apocalypse",1
127585,X-Men: Days of Future Past,en,Action,250000000,747862775,131.0,2014,Twentieth Century Fox Film Corporation,United Kingdom,7.5,"1970s, mutant, time travel, marvel comic, based on comic book, superhuman, storm, beast, aftercreditsstinger, changing the past or future",1
54138,Star Trek Into Darkness,en,Action,190000000,467365246,132.0,2013,Paramount Pictures,United States of America,7.4,"spacecraft, friendship, sequel, futuristic, space, alien, imax, space opera, terrorist bombing, 3d",1
81005,Jack the Giant Slayer,en,Action,195000000,197687603,114.0,2013,New Line Cinema,United States of America,5.5,"based on fairy tale, giant",1
64682,The Great Gatsby,en,Drama,105000000,351040419,143.0,2013,Village Roadshow Pictures,United States of America,7.3,"based on novel, infidelity, obsession, hope, 3d",1
9543,Prince of Persia: The Sands of Time,en,Adventure,150000000,335154643,116.0,2010,Walt Disney Pictures,United States of America,6.2,"persia, sandstorm, brother against brother, armageddon, regent, based on video game",1
68726,Pacific Rim,en,Action,180000000,407602906,131.0,2013,Legendary Pictures,United States of America,6.7,"dystopia, giant robot, giant monster, apocalypse, imax, duringcreditsstinger, 3d",1
38356,Transformers: Dark of the Moon,en,Action,195000000,1123746996,154.0,2011,Paramount Pictures,United States of America,6.1,"moon, spacecraft, traitor, bodyguard, alien planet, based on cartoon, transformers, giant robot, sabotage, word domination, commando, duringcreditsstinger",1
33909,Wall Street: Money Never Sleeps,en,Drama,70000000,134748021,133.0,2010,Twentieth Century Fox Film Corporation,United States of America,5.8,duringcreditsstinger,1
217,Indiana Jones and the Kingdom of the Crystal Skull,en,Adventure,185000000,786636033,122.0,2008,Lucasfilm,United States of America,5.7,"saving the world, riddle, whip, treasure, mexico city, leather jacket, machinegun, alien phenomenons, maya civilization, peru, treasure hunt, nuclear explosion, refrigerator, archaeologist, indiana jones, archeology ",1
105864,The Good Dinosaur,en,Adventure,175000000,331926147,93.0,2015,Walt Disney Pictures,United States of America,6.6,"tyrannosaurus rex, friends, alternate history, dinosaur, fear, storm, nature, human, journey",1
62177,Brave,en,Animation,185000000,538983207,93.0,2012,Walt Disney Pictures,United States of America,6.7,"scotland, rebel, bravery, kingdom, archer, wish, bear, scot, rebellious daughter, turns into animal, archery, ruins, aftercreditsstinger, peace offering, woman director, courage, 3d",1
188927,Star Trek Beyond,en,Action,185000000,343471816,122.0,2016,Paramount Pictures,United States of America,6.6,"sequel, stranded, hatred, space opera",1
10681,WALL·E,en,Animation,180000000,521311860,98.0,2008,Walt Disney Pictures,United States of America,7.8,romantic comedy,1
5174,Rush Hour 3,en,Action,140000000,258022233,91.0,2007,New Line Cinema,United States of America,6.1,ambassador,1
14161,2012,en,Action,200000000,769653595,158.0,2009,Columbia Pictures,Canada,5.6,"civilization, natural disaster, end of the world, disaster, apocalypse, destruction, volcanic eruption, mayan, ark, solar, destruction  of mankind",1
17979,A Christmas Carol,en,Animation,200000000,325233863,96.0,2009,Walt Disney,United States of America,6.6,"holiday, based on novel, victorian england, money, christmas eve, scrooge, christmas carol, ghost, lesson, charles dickens, christmas",1
76757,Jupiter Ascending,en,Science Fiction,176000003,183987723,124.0,2015,Village Roadshow Pictures,United States of America,5.2,"jupiter, space, woman director, 3d, interspecies romance",1
258489,The Legend of Tarzan,en,Action,180000000,356743061,109.0,2016,Village Roadshow Pictures,Canada,5.5,"africa, feral child, tarzan, jungle, animal attack",1
26672,The Thief and the Cobbler,en,Adventure,28000000,669276,72.0,1993,Miramax Films,United Kingdom,6.8,"prophecy, witch, princess, battle, desert, troubled production, unfinished film",0
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,Adventure,180000000,748806957,143.0,2005,Walt Disney,United Kingdom,6.7,"saving the world, witch, based on novel, brother sister relationship, self sacrifice, winter, cupboard, beaver, lion, fairy-tale figure, battle, narnia, fantasy world, duringcreditsstinger",1
246655,X-Men: Apocalypse,en,Science Fiction,178000000,543934787,144.0,2016,Twentieth Century Fox Film Corporation,United States of America,6.4,"mutant, supernatural powers, marvel comic, superhero, based on comic book, superhuman, apocalypse, superhero team, world domination, aftercreditsstinger, 1980s",1
155,The Dark Knight,en,Drama,185000000,1004558444,152.0,2008,DC Comics,United Kingdom,8.2,"dc comics, crime fighter, secret identity, scarecrow, sadism, chaos, gotham city, vigilante, joker, superhero, based on comic book, tragic hero, organized crime, criminal mastermind, district attorney, imax, super villain, super powers, batman",1
14160,Up,en,Animation,175000000,735099082,96.0,2009,Pixar Animation Studios,United States of America,7.7,"age difference, central and south america, balloon, animation, floating in the air, duringcreditsstinger, exploring",1
15512,Monsters vs Aliens,en,Animation,175000000,381509870,94.0,2009,DreamWorks Animation,United States of America,6.0,"alien, giant robot, duringcreditsstinger",1
1726,Iron Man,en,Action,140000000,585174222,126.0,2008,Marvel Studios,United States of America,7.4,"middle east, arms dealer, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, counter terrorism, agent coulson",1
44826,Hugo,en,Adventure,170000000,185770160,126.0,2011,Paramount Pictures,France,7.0,"library, clock, film director, key, toy, boy, love, orphan, robot, automaton, hiding, filmmaking, leg brace, doberman, 3d",1
8487,Wild Wild West,en,Action,170000000,222104681,106.0,1999,Todman,United States of America,5.1,"steampunk, based on tv series, steam locomotive, drag",1
1735,The Mummy: Tomb of the Dragon Emperor,en,Adventure,145000000,401128639,112.0,2008,Universal Pictures,Germany,5.2,,1
297761,Suicide Squad,en,Action,175000000,745000000,123.0,2016,DC Comics,United States of America,5.9,"dc comics, shared universe, anti hero, secret mission, villain, superhero, supervillain, dc extended universe",1
2698,Evan Almighty,en,Fantasy,175000000,173000000,96.0,2007,Columbia Pictures,United States of America,5.3,"father son relationship, daily life, married couple, support, father, marriage, faith, baustelle, rescue, animal, nature, duringcreditsstinger, noah's ark",0
137113,Edge of Tomorrow,en,Action,178000000,370541256,113.0,2014,Village Roadshow Pictures,Australia,7.6,"deja vu, time warp, restart, dystopia, war, alien, military officer, soldier, alien invasion, exoskeleton",1
9804,Waterworld,en,Adventure,175000000,264218220,135.0,1995,Universal Pictures,United States of America,5.9,"ocean, tattoo, mutant, water, dystopia, doomsday",1
14869,G.I. Joe: The Rise of Cobra,en,Adventure,175000000,302469017,118.0,2009,Paramount Pictures,Czech Republic,5.6,"terrorist, secret, hostage, technology, warhead, government, president, revenge, murder, attack, explosion, scientist, lasers, evil, cobra",1
150540,Inside Out,en,Drama,175000000,857611174,94.0,2015,Walt Disney Pictures,United States of America,8.0,"dream, cartoon, imaginary friend, animation, family, moving, kids, unicorn, duringcreditsstinger, 3d, emotions",1
278927,The Jungle Book,en,Family,175000000,966550600,106.0,2016,Walt Disney Pictures,United Kingdom,6.7,"based on novel, snake, wolf, elephant, tiger, feral child, panther, remake, bear, jungle, talking animal, orphan, animal, talking to animals",1
10138,Iron Man 2,en,Adventure,200000000,623933331,124.0,2010,Marvel Studios,United States of America,6.6,"malibu, marvel comic, superhero, based on comic book, revenge, aftercreditsstinger, marvel cinematic universe",1
58595,Snow White and the Huntsman,en,Adventure,170000000,396600000,127.0,2012,Universal Pictures,United States of America,5.8,"queen, magic, fairy tale, immortality, forest, deception, woman, eternal youth, snow white, evil queen, evil stepmother, imprisoned, sorceress",1
102651,Maleficent,en,Fantasy,180000000,758539785,97.0,2014,Walt Disney Pictures,United States of America,7.0,"fairy tale, villain, sleeping beauty, dark fantasy, based on fairy tale, adaptation, retelling, literary adaptation, 3d",1
119450,Dawn of the Planet of the Apes,en,Science Fiction,170000000,710644566,130.0,2014,Ingenious Media,United States of America,7.3,"leader, colony, post-apocalyptic, dystopia, forest, sequel, woods, ape, scientist, monkey, medical research, animal attack, plague, 3d",1
64686,47 Ronin,en,Drama,175000000,150962475,119.0,2013,Mid Atlantic Films,United States of America,5.9,"japan, suicide, samurai, based on true story, samurai sword, ronin, shogun, half breed, 3d",0
100402,Captain America: The Winter Soldier,en,Action,170000000,714766572,136.0,2014,Marvel Studios,United States of America,7.6,"washington d.c., future, shield, marvel comic, superhero, based on comic book, captain america, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d, political thriller",1
10192,Shrek Forever After,en,Comedy,165000000,752600867,93.0,2010,DreamWorks Animation,United States of America,6.0,"ogre, 3d",1
158852,Tomorrowland,en,Adventure,190000000,209154322,130.0,2015,Walt Disney Pictures,United States of America,6.2,"inventor, apocalypse, destiny, imax, dreamer, futuristic car, futuristic city",1
177572,Big Hero 6,en,Adventure,165000000,652105443,102.0,2014,Walt Disney Pictures,United States of America,7.8,"brother brother relationship, hero, talent, revenge, best friend, another dimension, robot, boy genius, hate, aftercreditsstinger, moral dilemma, 3d, teen superheroes, dead brother",1
82690,Wreck-It Ralph,en,Family,165000000,471222889,108.0,2012,Walt Disney Animation Studios,United States of America,7.1,"support group, product placement, bullying, racing, arcade, medal, self esteem, curiosity, precocious child, aftercreditsstinger, duringcreditsstinger, first person shooter, glitch, carefree, video gamer, q*bert, interrupted wedding, social reject",1
5255,The Polar Express,en,Adventure,165000000,305875730,100.0,2004,Golden Mean,United States of America,6.4,"santa claus, nerd, faith, gift, bell, beard, north pole, chute, trestle, ticket, christmas",1
47933,Independence Day: Resurgence,en,Action,165000000,389681935,120.0,2016,Twentieth Century Fox Film Corporation,United States of America,4.9,"alternate history, alien invasion",1
10191,How to Train Your Dragon,en,Fantasy,165000000,494878759,98.0,2010,DreamWorks Animation,United States of America,7.5,"flying, blacksmith, arena, island, night, ship, training, village, forest, viking, friendship, ignorance, flight, nest, dragon, battle, combat, well, warrior",1
296,Terminator 3: Rise of the Machines,en,Action,200000000,435000000,109.0,2003,Columbia Pictures,Germany,5.9,"saving the world, artificial intelligence, man vs machine, cyborg, killer robot, sun glasses, leather jacket, nanotechnology, rocket launcher, firemen, veterinarian, fire engine, dystopia, psychiatrist",1
118340,Guardians of the Galaxy,en,Action,170000000,773328629,121.0,2014,Marvel Studios,United Kingdom,7.9,"marvel comic, spaceship, space, outer space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe",1
157336,Interstellar,en,Adventure,165000000,675120017,169.0,2014,Paramount Pictures,Canada,8.1,"saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity",1
27205,Inception,en,Action,160000000,825532764,148.0,2010,Legendary Pictures,United Kingdom,8.1,"loss of lover, dream, kidnapping, sleep, subconsciousness, heist, redemption, female hero",1
315011,シン・ゴジラ,ja,Action,15000000,77000000,120.0,2016,Cine Bazar,Japan,6.5,"monster, godzilla, giant monster, destruction, kaiju, toyko",1
49051,The Hobbit: An Unexpected Journey,en,Adventure,250000000,1021103568,169.0,2012,WingNut Films,New Zealand,7.0,"riddle, elves, dwarves, orcs, middle-earth (tolkien), hobbit, mountains, wizard, journey, ring, goblin, courage, giant, tunnel, underground lake, buried treasure, climbing a tree, invisibility, ancient, gnomes",1
9799,The Fast and the Furious,en,Action,38000000,207283925,106.0,2001,Universal Pictures,Germany,6.6,"street gang, car race, undercover, auto-tuning, los angeles, car, automobile racing, aftercreditsstinger, duringcreditsstinger",1
4922,The Curious Case of Benjamin Button,en,Fantasy,150000000,333932083,166.0,2008,Paramount Pictures,United States of America,7.3,"diary, navy, funeral, tea, travel, hospital",1
49538,X-Men: First Class,en,Action,160000000,353624124,132.0,2011,Ingenious Film Partners,United States of America,7.1,"cia, mutant, mine, marvel comic, superhero, based on comic book, superhuman, historical fiction, nuclear war, cuban missile crisis, world war iii, 1960s",1
131634,The Hunger Games: Mockingjay - Part 2,en,Action,160000000,653428261,137.0,2015,Studio Babelsberg,Germany,6.6,"revolution, strong woman, dystopia, game of death, 3d, based on young adult novel",1
27022,The Sorcerer's Apprentice,en,Fantasy,150000000,215283742,109.0,2010,Walt Disney Pictures,United States of America,5.8,"witch, fire, wolf, fountain, magic, book, castle, water, apprentice, training, merlin, love, mission, sorcerer, dragon, aftercreditsstinger, apprendista, morgana",1
97020,RoboCop,en,Action,120000000,242688965,102.0,2014,Columbia Pictures,Canada,5.7,"cyborg, future, dystopia, police, remake, violence, detroit",1
503,Poseidon,en,Adventure,160000000,181674817,99.0,2006,Virtual Studios,United States of America,5.5,"new year's eve, fire, drowning, cataclysm, loss of father, atlantic ocean, ball, self-abandonment, shipwreck, giant wave, blackout, ship, daughter, single, escape, capsized ship",1
241259,Alice Through the Looking Glass,en,Fantasy,170000000,299370084,113.0,2016,Walt Disney Pictures,United Kingdom,6.5,"based on novel, clock, queen, sequel, alice in wonderland, dark fantasy, mad hatter, 3d",1
810,Shrek the Third,en,Fantasy,160000000,798958165,93.0,2007,DreamWorks SKG,United States of America,6.0,"ambush, sadness, stage, liberation of prisoners, island, traitor, shipwreck, prince, ship, donkey, kingdom, theatre play, transformation, conciliation, tricks, heir to the throne, assault, boarding school, coup d'etat, teacher, best friend, dragon, cowardliness, pregnancy, capture, duringcreditsstinger",1
68735,Warcraft,en,Action,160000000,433677183,123.0,2016,Universal Pictures,Canada,6.3,"video game, elves, orcs, magic, chase, based on comic book, sorcerer, fictional war, based on video game, wizard, fictional language, muscles, orc, sword and sorcery",1
87101,Terminator Genisys,en,Science Fiction,155000000,440603537,126.0,2015,Paramount Pictures,United States of America,5.8,"saving the world, artificial intelligence, cyborg, killer robot, future, time travel, dystopia, sequel, fiction, duringcreditsstinger, 3d",1
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,en,Adventure,155000000,415686217,113.0,2010,Dune Entertainment,United States of America,6.2,"based on novel, magic, good vs evil, king, narnia, fantasy world, knife held to throat, snowing, quest",1
676,Pearl Harbor,en,History,140000000,449220945,183.0,2001,Jerry Bruckheimer Films,United States of America,6.6,"nurse, patriotism, hawaii, world war ii, pilot, pearl harbor, u.s. air force, airplane, war, army, love, pin-up",1
1858,Transformers,en,Adventure,150000000,709709780,144.0,2007,Paramount Pictures,United States of America,6.6,"destroy, transformation, alien, based on toy, transformers, robot, duringcreditsstinger, teenage hero",1
1966,Alexander,en,War,155000000,167298192,175.0,2004,France 3 Cinéma,France,5.6,"aristotle, egypt, greece, persia, elephant, campaign, alexander the great, homosexuality, gay relationship, ancient world",1
675,Harry Potter and the Order of the Phoenix,en,Adventure,150000000,938212738,138.0,2007,Warner Bros.,United Kingdom,7.4,"prophecy, witch, loss of lover, magic, cutting the cord, child hero, dying and death, broom, sorcerer's apprentice, school of witchcraft, black magic, death of a friend, sorcery, occultism",1
674,Harry Potter and the Goblet of Fire,en,Adventure,150000000,895921036,157.0,2005,Patalex IV Productions Limited,United Kingdom,7.5,"magic, dying and death, broom, sorcerer's apprentice, school of witchcraft, chosen one, black magic, boarding school, vision, tournament, teenager, wizard, teenage hero, based on young adult novel",1
8960,Hancock,en,Fantasy,150000000,624029371,92.0,2008,Columbia Pictures,United States of America,6.2,"flying, alcohol, love of one's life, forbidden love, lovers, affection, advertising expert, alcoholism, invulnerability, superhero, pokies, duringcreditsstinger",1
6479,I Am Legend,en,Drama,150000000,585349010,101.0,2007,Village Roadshow Pictures,United States of America,6.9,"saving the world, lost civilisation, post-apocalyptic, dystopia, matter of life and death, alone, helplessness, virus, pandemic",1
118,Charlie and the Chocolate Factory,en,Adventure,150000000,474968763,115.0,2005,Village Roadshow Pictures,Australia,6.7,"london england, father son relationship, chocolate, factory worker, based on novel, parents kids relationship, candy, overweight child, grandfather grandson relationship, teacher",1
2062,Ratatouille,en,Animation,150000000,623722818,111.0,2007,Walt Disney Pictures,United States of America,7.5,"paris, brother brother relationship, expensive restaurant, river, cook, mouse, confidence, roof, window, leaving one's family, work, restaurant critic, kitchen, spice, court, cookbook, family, chef, rat",1
272,Batman Begins,en,Action,150000000,374218673,140.0,2005,DC Comics,United Kingdom,7.5,"himalaya, martial arts, dc comics, crime fighter, secret identity, undercover, hero, loss of father, society, gotham city, vigilante, superhero, based on comic book, rivalry, tragic hero, ninja, good vs evil, crime, super powers, haunted by the past, evil doctor, escapade, master villain, fighting crime, unfulfillment, love and romance, unfulfilled love",1
10527,Madagascar: Escape 2 Africa,en,Family,150000000,603900354,89.0,2008,DreamWorks Animation,United States of America,6.2,"africa, jealousy, dance, hunger, lion, zoo, hippopotamus, chimp, penguin, volcano, madagascar, airplane, zebra, sequel, shark, imax, duringcreditsstinger",1
18360,Night at the Museum: Battle of the Smithsonian,en,Adventure,150000000,413106170,105.0,2009,Twentieth Century Fox Film Corporation,United States of America,5.9,"museum, theodore roosevelt, duringcreditsstinger, amelia earhart, smithsonian",1
41283,Faster,en,Crime,24000000,23081726,98.0,2010,Castle Rock Entertainment,United States of America,6.1,,0
2080,X-Men Origins: Wolverine,en,Adventure,150000000,373062864,107.0,2009,Ingenious Film Partners,United States of America,6.2,"corruption, mutant, boxer, army, marvel comic, superhero, aftercreditsstinger, duringcreditsstinger",1
